,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
900,vajrasana,Helps in maintaining good posture.,"mind and the body become stabilized, hence is recommended for pranayama and meditation which later improves concentration and memory.",helps maintaining good posture,mind body become stabilized hence recommended pranayama meditation later improves concentration memory,12
901,purvottanasana,Works well in improving the balance,"This pose works on the entire body, right from the toes to the neck, giving room for a well toned body with the burning of fat around the thighs, hips, chest and abdomen.",works well improving balance,pose works entire body right toes neck giving room well toned body burning fat around thighs hips chest abdomen,17
902,jathara parivartanasana,"The muscles of the spine are strengthened improving in flexibility, and range of motion.",Energy and Endurance is improved,muscles spine strengthened improving flexibility range motion,energy endurance improved,30
903,ardha matsyendrasana,Helps in the agility of the spine. The poses and postures of this yoga elongate the spine and restores the natural alignment of the spine.,"It massages the abdominal organs, alleviating digestive ailments.",helps agility spine poses postures yoga elongate spine restores natural alignment spine,massages abdominal organs alleviating digestive ailments,4
904,bananasana,"A mild pressure is also on the knees, at the abdomen with the expansion of the oblique muscles, the chest and rib cage, and the IT band (the side thigh going down to the knee).",Expansion of the diaphragm permits sufficient air to reach to the lungs improving breathing.,mild pressure also knees abdomen expansion oblique muscles chest rib cage band side thigh going knee,expansion diaphragm permits sufficient air reach lungs improving breathing,19
905,vajrasana,Strengthens the back and leg muscles.,Increases Flexibility in Ankles: The ankles are bent so well giving room for greater flexibility right up to the tips of the toes.,strengthens back leg muscles,increases flexibility ankles ankles bent well giving room greater flexibility right tips toes,12
906,parsvakonasana,Parsvakonasana benefits your abdominal muscles and helps to tone those muscles,"stretches and opens the hips, which can help to relieve tension and improve flexibility.",parsvakonasana benefits abdominal muscles helps tone muscles,stretches opens hips help relieve tension improve flexibility,44
907,trikonasana,Improves balance and stability: The pose helps to improve balance and stability by encouraging proper alignment of the feet and legs.,Enhances respiratory function: The pose can help to enhance respiratory function by promoting deep breathing and expanding the chest.,improves balance stability pose helps improve balance stability encouraging proper alignment feet legs,enhances respiratory function pose help enhance respiratory function promoting deep breathing expanding chest,27
908,anjaneyasana,"stimulates the digestive system. The deep abdominal stretch happening with the backbend stimulates the digestive system and helps in treating ailments like constipation, IBS (Irregular Bowel Syndrome), lack of appetite, and acidity.",Reproductive ailments in men like erectile dysfunction and infertility can be cured and it benefits prostate health too.,stimulates digestive system deep abdominal stretch happening backbend stimulates digestive system helps treating ailments like constipation ibs irregular bowel syndrome lack appetite acidity,reproductive ailments men like erectile dysfunction infertility cured benefits prostate health,48
909,ardha matsyendrasana,Ardha matysendrasana tones the kidneys and improves secretion of the adrenal glands.,"It regulates the secretions of the adrenal gland, liver and pancreas, and is beneficial for the kidneys.",ardha matysendrasana tones kidneys improves secretion adrenal glands,regulates secretions adrenal gland liver pancreas beneficial kidneys,4
910,ardha kapotasana,Activates and simulates the entire Endocrine System,A great pose for toning the hips and sides of the back,activates simulates entire endocrine system,great pose toning hips sides back,0
911,vajrasana,It is the best meditation asana for people suffering from sciatica.,The folding of the knees and the thighs stretches these muscles and improves blood circulation and improves flexibility.,best meditation asana people suffering sciatica,folding knees thighs stretches muscles improves blood circulation improves flexibility,12
912,vajrasana,Helps in reducing stress and anxiety.,Vajrasana alters the flow of blood and nervous impulses in the pelvic region and strengthens the pelvic muscles.,helps reducing stress anxiety,vajrasana alters flow blood nervous impulses pelvic region strengthens pelvic muscles,12
913,ushtrasana,Stretches and opens the front of the body. It also strengthens the back and shoulders.,"It enhances circulation to the digestive tract, thus improving digestion, appetite, and excretion of food. An effective digestive system energizes the body.",stretches opens front body also strengthens back shoulders,enhances circulation digestive tract thus improving digestion appetite excretion food effective digestive system energizes body,6
